Statistic Measure	Naive Bayes	Random Forest	SVM	KNN	My Method
Accuracy	0.7594273562694616	0.918560795929217	0.9363241436925648	0.9286367433735855	0.9363241436925648
Precision	0.7127979797979799	0.9371666666666666	0.9560714285714287	0.9394761904761904	0.9560714285714287
Recall	0.6786666666666665	0.9166666666666666	0.9236666666666666	0.9333333333333332	0.9236666666666666
F-Measure	0.6564005863417628	0.9151566211566212	0.9304551004551005	0.928054612054612	0.9304551004551005
